dataset,feature,pearson_correlation,spearman_correlation
coding,char_count,0.40464634762109586,0.47406065432204914
coding,word_count,0.38642197840181414,0.4579699508386643
coding,answer_char_count,0.3055792193202687,0.3803843353098062
coding,answer_line_count,0.2871442605322632,0.34188394947262385
coding,answer_conditional_count,0.2409093913936977,0.27181699536764364
coding,answer_loop_count,0.21134180855797763,0.22857302527082238
coding,number_count,0.15317580474686154,0.1258463888657646
coding,answer_nested_loop_count,0.11722866731310902,0.11344474500652817
coding,answer_function_count,0.08047200800141624,0.08725963378590441
coding,parenthesis_count,0.09942069056373061,0.08477411667358137
coding,avg_word_length,0.03943326734310907,0.048496697456188814
coding,answer_comprehension_count,0.029475491044183563,0.029254647278851097
coding,answer_import_count,-0.003254359504271273,-0.0007250262925880259
coding,uppercase_ratio,-0.3683105886319903,-0.4686983728816529
math,char_count,0.3342881928774214,0.4337589283332241
math,word_count,0.3237943828608517,0.3884412003204073
math,parenthesis_count,0.27729470262206646,0.3390544941991664
math,latex_command_count,0.23107498308327462,0.28933359678743104
math,number_count,0.2569755955475112,0.28098278064694826
math,fraction_count,0.18467903356618837,0.17970615072940962
math,has_summation,0.18214265395661675,0.15981435712531683
math,math_env_count,0.12299556173725912,0.13330690033041614
math,choice_count,0.11910203855796807,0.09228142779178954
math,avg_word_length,0.0920776284726414,0.06430661173671659
math,has_integral,0.07039342048521414,0.06276156051410349
math,uppercase_ratio,0.030016308335203235,0.060184393666049336
math,question_mark_count,0.019827393418024315,-0.013567373778525418
science,char_count,0.35525588742313685,0.5001823114573902
science,word_count,0.36168819817211345,0.44567250100361744
science,parenthesis_count,0.15943918277993185,0.20770953135601197
science,choice_count,0.1906760415676715,0.15593369188109238
science,number_count,0.20006063777793398,0.135089362204549
science,arrow_count,0.12010070948746991,0.1330947987138153
science,avg_word_length,0.10877073349795857,0.0815695106131283
science,has_summation,0.08675103102161313,0.06483740051931054
science,question_mark_count,0.0228228840438728,0.01358719901698091
science,fraction_count,0.03563208008301362,0.00992941078791623
science,latex_command_count,0.10279057901971032,0.0033035372397087395
science,math_env_count,-0.0334645731867472,-0.048433457857911935
science,uppercase_ratio,0.04946839913655541,-0.09421231216840262
