model,dataset,count,mean,median,std,min,p25,p75,p90,p95,p99,max
Claude-Opus-4.6,coding,974,7187.0,5181.5,6029.522869592872,561,2746.5,9585.5,16476.0,19491.399999999994,26797.999999999985,33818
Claude-Opus-4.6,math,200,41964.0,28973.0,36785.21997874177,4669,13758.0,59712.5,96559.7,118350.09999999998,146503.45999999988,185694
Claude-Opus-4.6,science,198,27217.0,19893.0,22864.349557339323,2589,10441.0,34982.25,60480.60000000001,76473.9,100845.28000000001,124923
Claude-Opus-4.7,coding,974,1878.0,1348.0,1609.2639141308478,154,704.5,2550.0,4237.7,5178.349999999997,7535.5999999999985,9950
Claude-Opus-4.7,math,200,11406.0,8018.0,9946.5437309125,1253,4235.25,15197.0,27156.6,30848.149999999987,43370.41999999999,47426
Claude-Opus-4.7,science,198,6076.0,4718.5,4933.13243017092,544,2466.5,8680.0,12976.3,14486.999999999998,21933.43,33654
Claude-Sonnet-4.6,coding,974,12471.0,9149.5,10968.261368844791,1194,4432.0,16309.75,26551.0,35647.149999999994,51058.179999999964,71145
Claude-Sonnet-4.6,math,200,13973.0,9087.5,12973.405734105005,1409,4573.75,18492.0,32071.1,39864.649999999994,57555.37999999998,74353
Claude-Sonnet-4.6,science,198,27366.0,20055.5,22851.425158324306,3033,11688.75,35846.0,56439.40000000001,69133.34999999999,117703.84,127594
DeepSeek-v4-flash-max,coding,974,32709.0,23825.5,28194.815860618484,2541,11677.75,43922.0,74284.20000000001,93917.09999999996,121410.60999999999,162093
DeepSeek-v4-flash-max,math,200,111211.0,76198.5,107341.9544624519,11031,36854.75,140296.0,265389.3999999999,356254.6499999998,451083.6599999998,635976
DeepSeek-v4-flash-max,science,198,90834.0,69198.5,69960.20901085588,8927,38361.75,124670.5,199757.40000000008,242112.49999999997,282405.86000000004,362221
GPT-5.4-medium,coding,974,2338.0,1772.5,1962.7003866639693,212,890.0,3085.75,5114.3,6444.049999999999,9163.389999999998,13091
GPT-5.4-medium,math,200,3235.0,1985.0,2963.890384453393,432,1154.0,4178.5,7982.599999999999,9369.249999999996,11914.27999999999,16951
GPT-5.4-medium,science,198,4308.0,3315.5,3556.6687502471705,532,1673.75,5881.0,9623.600000000002,12051.94999999999,15327.35,19920
GPT-5.5-medium,coding,974,1739.0,1349.0,1416.3804389324007,182,659.25,2301.75,3787.1000000000013,4607.449999999999,6624.789999999999,7534
GPT-5.5-medium,math,200,6723.0,4604.5,5999.6084244083095,705,2377.25,8540.5,15052.999999999995,20574.649999999994,25418.189999999984,27923
GPT-5.5-medium,science,198,4043.0,3011.0,3303.1765698758295,474,1499.25,5480.75,8817.1,10232.399999999983,14858.92,18703
GPT-5.5-xhigh,coding,974,4501.0,3419.5,3803.6266117811765,443,1593.5,6206.25,9511.600000000002,12111.799999999994,16572.959999999995,25457
GPT-5.5-xhigh,math,200,19115.0,12897.5,18152.903061156332,1910,6467.25,23880.75,44598.49999999999,57724.49999999992,79194.58999999997,112625
GPT-5.5-xhigh,science,198,11962.0,9082.0,9573.820452719681,1321,4903.25,16310.25,26273.000000000004,31979.75,38793.57000000001,50248
Gemini-2.5-Flash,coding,974,16641.0,12611.0,13948.270524140045,1714,5842.25,22375.75,36257.3,47477.85,61714.30999999997,78867
Gemini-2.5-Flash,math,200,50727.0,36024.5,44818.86994330597,5844,18313.25,70623.25,116316.2,139333.64999999997,178895.49999999983,291473
Gemini-2.5-Flash,science,198,28161.0,21344.5,22510.251760809457,2893,11705.5,37360.5,60643.200000000004,73926.84999999999,97092.11,119115
Gemini-3-Flash,coding,974,2088.0,1566.5,1768.9939999445085,201,790.25,2793.75,4716.8,5591.699999999996,8363.839999999998,12553
Gemini-3-Flash,math,200,1076.0,759.5,950.5557644381166,115,383.0,1439.0,2318.6,3202.0499999999993,4203.959999999999,4623
Gemini-3-Flash,science,198,2343.0,1815.0,1922.6773184978263,282,915.75,3099.75,4811.2,5963.549999999999,9508.900000000001,10781
Gemini-3.1-Pro,coding,974,2723.0,1962.5,2395.9389000440083,266,971.5,3664.25,6080.700000000002,7691.099999999999,11051.319999999996,15567
Gemini-3.1-Pro,math,200,4130.0,2812.0,3776.9465985158154,484,1473.25,5399.0,9527.3,11778.599999999991,16975.72999999999,19836
Gemini-3.1-Pro,science,198,1934.0,1470.5,1670.0697088706534,258,717.75,2459.0,4216.3,5034.999999999999,7142.840000000002,12185
